source,target,realValue,layerID,layerColor,layerUnit
NG imports,Gas,150.22,Gas,#FFD700,TWh
Gas,Freight,16.08,NG,#FFD700,TWh
Gas,Boilers,5.54,NG,#FFD700,TWh
Electricity,Elec,4.81,Electricity,#00BFFF,TWh
Nuclear,Elec,108.45,Nuclear,#FFC0CB,TWh
Wind,Elec,122.84,Wind,#27AE34,TWh
Solar,Elec,32.60,Solar,#FFFF00,TWh
Geothermal,Elec,1.43,Geothermal,#FF0000,TWh
Waste,Boilers,12.75,Waste,#808000,TWh
Wood,Boilers,9.78,Wood,#CD853F,TWh
Wet biomass,Biomethanation,56.38,Wood,#CD853F,TWh
Biomethanation,Gas,52.66,NG,#FFD700,TWh
Elec,Mob priv,19.03,Electricity,#00BFFF,TWh
Elec,Mob public,4.62,Electricity,#00BFFF,TWh
Elec,Freight,2.36,Electricity,#00BFFF,TWh
Elec,Exp & Loss,13.89,Electricity,#00BFFF,TWh
Elec,Curt.,0.02,Electricity,#00BFFF,TWh
Elec,Elec demand,109.48,Electricity,#00BFFF,TWh
Elec,HPs,60.83,Electricity,#00BFFF,TWh
Elec,Electrolysis,24.27,Electricity,#00BFFF,TWh
Electrolysis,H2 sto.,4.28,H2,#FF00FF,TWh
H2 sto.,H2,3.70,H2,#FF00FF,TWh
Electrolysis,H2,16.93,H2,#FF00FF,TWh
Elec,Heat HT,28.90,Electricity,#00BFFF,TWh
H2,Mob public,1.00,H2,#FF00FF,TWh
H2,Freight,19.13,H2,#FF00FF,TWh
HPs,Heat LT Dec,106.30,Heat LT,#FA8072,TWh
HPs,DHN,78.17,Heat LT,#FA8072,TWh
HPs,Dec. Sto,17.57,Heat LT,#FA8072,TWh
Boilers,Heat HT,24.05,Heat HT,#DC143C,TWh
Dec. Sto,Heat LT Dec,16.44,Heat LT,#FA8072,TWh
DHN,Heat LT DHN,51.49,Heat LT,#FA8072,TWh
DHN,Loss DHN,5.47,Heat LT,#FA8072,TWh
DHN,DHN Sto,21.20,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,20.59,Heat LT,#FA8072,TWh
Gas,Non-Energy,181.25,NG,#FFD700,TWh
