source,target,realValue,layerID,layerColor,layerUnit
Diesel,Mob public,11.84,Diesel,#D3D3D3,TWh
Diesel,Freight,103.04,Diesel,#D3D3D3,TWh
NG imports,Gas,272.62,Gas,#FFD700,TWh
Gas,H2 prod,75.91,NG,#FFD700,TWh
H2 prod,H2,55.63,H2,#FF00FF,TWh
Electricity,Elec,49.97,Electricity,#00BFFF,TWh
Nuclear,Elec,311.25,Nuclear,#FFC0CB,TWh
Wind,Elec,370.00,Wind,#27AE34,TWh
Hydro River,Elec,10.92,Hydro River,#0000FF,TWh
Solar,Elec,476.43,Solar,#FFFF00,TWh
Geothermal,Elec,17.33,Geothermal,#FF0000,TWh
Waste,Boilers,62.20,Waste,#808000,TWh
Wood,Biofuels,172.51,Wood,#CD853F,TWh
Wood,Boilers,149.13,Wood,#CD853F,TWh
Wet biomass,Biomethanation,123.72,Wood,#CD853F,TWh
Biomethanation,Gas,115.55,NG,#FFD700,TWh
Elec,Mob public,67.74,Electricity,#00BFFF,TWh
Elec,Freight,13.49,Electricity,#00BFFF,TWh
Elec,Exp & Loss,119.67,Electricity,#00BFFF,TWh
Elec,Curt.,14.90,Electricity,#00BFFF,TWh
Elec,Elec demand,400.85,Electricity,#00BFFF,TWh
Elec,Storage,95.95,Electricity,#00BFFF,TWh
Storage,Elec demand,83.09,Electricity,#00BFFF,TWh
Elec,HPs,273.66,Electricity,#00BFFF,TWh
Elec,Electrolysis,183.46,Electricity,#00BFFF,TWh
Electrolysis,H2 sto.,48.03,H2,#FF00FF,TWh
H2 sto.,H2,41.51,H2,#FF00FF,TWh
Electrolysis,H2,114.43,H2,#FF00FF,TWh
Elec,Heat HT,92.22,Electricity,#00BFFF,TWh
H2,Mob priv,116.16,H2,#FF00FF,TWh
H2,Freight,89.74,H2,#FF00FF,TWh
HPs,Heat LT Dec,424.64,Heat LT,#FA8072,TWh
HPs,DHN,353.05,Heat LT,#FA8072,TWh
HPs,Dec. Sto,131.63,Heat LT,#FA8072,TWh
Biofuels,Elec,2.73,Electricity,#00BFFF,TWh
Biofuels,Boilers,0.00,Oil,#8B008B,TWh
Boilers,Heat HT,179.92,Heat HT,#DC143C,TWh
Dec. Sto,Heat LT Dec,122.04,Heat LT,#FA8072,TWh
DHN,Heat LT DHN,232.52,Heat LT,#FA8072,TWh
DHN,Loss DHN,24.71,Heat LT,#FA8072,TWh
DHN,DHN Sto,95.82,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,88.55,Heat LT,#FA8072,TWh
Gas,Non-Energy,312.27,NG,#FFD700,TWh
